epochs,train_losses,val_losses,train_snr,val_snr,train_stoi,val_stoi,train_pesq,val_pesq,learning_rates,best_epoch
1,0.30137241242284124,0.23761879788203674,7.82083261013031,11.225878982381387,0.8830902148542691,0.8789434579232496,1.5499773859977721,1.545512237332084,0.001,94
2,0.23580257391387766,0.22005639631639828,10.471709340810776,11.960161355408756,0.884637800948569,0.8681103529802999,1.4941250324249267,1.6310746669769287,0.001,94
3,0.22574286518449133,0.2051403061910109,12.387305855751038,12.389282970265908,0.785661787707077,0.8625234054311259,1.6147756338119508,1.6495439139279453,0.001,94
4,0.21703414906832305,0.2061293457042087,12.011656045913696,11.940701522610404,0.9069880157213284,0.8741964220938677,1.7904786705970763,1.6746423081918196,0.001,94
5,0.21271639520471747,0.20058168470859528,11.853737592697144,12.637159099633044,0.8440644285948778,0.8795434312643937,1.8016814231872558,1.783048602667722,0.001,94
6,0.21011241254481403,0.20006888969378037,14.177770495414734,12.52408770675009,0.8866892925864157,0.8792210470996235,1.6994522094726563,1.6893758936361833,0.001,94
7,0.20564979856664484,0.19245117157697678,15.175593137741089,12.595403031869369,0.9255239725317853,0.8900465130851412,2.3039517998695374,1.6664534536274997,0.001,94
8,0.2038130218332464,0.19610037857835944,13.004807472229004,12.905405502427708,0.8992058299955286,0.8799423482619173,1.72037193775177,1.7955896095796064,0.001,94
9,0.20163430764593862,0.18744017590175976,16.20405411720276,12.980349592187189,0.9251807120224059,0.8929095334603786,2.3238322019577025,1.7801786227659746,0.001,94
10,0.19916901805184103,0.1903092014518651,12.479703515768051,13.173519738695838,0.8569256929944984,0.8802716701444933,2.0054843187332154,1.7981563047929243,0.001,94
11,0.2003864591771906,0.18827803907069293,12.53683616220951,12.40866942839189,0.8891548816279231,0.8876352108379798,2.1319275736808776,1.761638256636533,0.001,94
12,0.1970081671395085,0.18651395020159808,9.640654027462006,12.783443480730057,0.8238164128522687,0.8919200584238784,1.5817636251449585,1.822281002998352,0.001,94
13,0.19514087215065956,0.18925862217491324,14.477166205644608,12.288743650371378,0.91763397730985,0.8934686770607162,2.108875072002411,1.8770576281981035,0.001,94
14,0.19490851055492053,0.18418520079417663,12.369455337524414,13.151061196218837,0.8470607754440813,0.88592507301162,1.925738775730133,1.8907959081909873,0.001,94
15,0.19431023723022503,0.18639979782429608,15.297113358974457,13.11471483924172,0.907449628132605,0.894136349623096,2.21017724275589,1.8887115716934204,0.001,94
16,0.19372399168258364,0.18275053934617477,14.254779875278473,13.419653692028739,0.911265060363367,0.8901901060867843,2.360403001308441,1.94002027945085,0.001,94
17,0.19294000992720778,0.18201176889918066,13.369665205478668,12.71392820910974,0.8969798113265872,0.8953188697888641,2.0117103934288023,1.812001260844144,0.001,94
18,0.19165241650559686,0.1828214621002024,15.632189393043518,13.070603961294347,0.9239934259351553,0.8933809822887362,2.2687088370323183,1.9089820276607166,0.001,94
